channel_id,call_sign,display_name,city,state,source,site,site_id,match_method,confidence,reason
CCPlutoTV.de,,CC Pluto TV,,,i.mjh.nz/pluto,i.mjh.nz,PlutoTV/de#5d4947590ba40f75dc29c26b,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/pluto guide-source list
CMT.us,,CMT,,,tvguide.com,tvguide.com,9200012085,exact_channel_id,high,channel id matched verbatim in tvguide.com guide-source list
CMTEqualPlay.us,,CMT Equal Play,,,i.mjh.nz/pluto,i.mjh.nz,PlutoTV/us#5f68f53eb1e5800007390bf8,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/pluto guide-source list
CSI.us,,CSI,,,i.mjh.nz/pluto,i.mjh.nz,PlutoTV/us#5efbd29e4aa26700076c0d06,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/pluto guide-source list
CSIenespanol.us,,CSI en espanol,,,i.mjh.nz/pluto,i.mjh.nz,PlutoTV/us#604928d54a4f730007ff76bc,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/pluto guide-source list
Caillou.fr,,Caillou,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#a164a2f39b815cb9b6559d99ae0f6e8c,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
CampSpoopy.us,,Camp Spoopy,,,i.mjh.nz/plex,i.mjh.nz,Plex/au#697140a85d851f5e69414688-6164a963766ab4f9f57e81b1,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/plex guide-source list
CazadordeHomicidas.us,,Cazador de Homicidas,,,i.mjh.nz/pluto,i.mjh.nz,PlutoTV/es#60ed5fb9c4716d0007d180c5,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/pluto guide-source list
CelebrityNameGame.us,,Celebrity Name Game,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#23427355f7f35851b75a210d7cca22a4,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
ChaosCity.us,,Chaos City,,,i.mjh.nz/pluto,i.mjh.nz,PlutoTV/de#60afbad343e3840007164348,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/pluto guide-source list
CheddarNews.us,,Cheddar News,,,i.mjh.nz/plex,i.mjh.nz,Plex/ca#647f8d22a2fc3fadb4721685-5f6b8e5900b0950040d0f2af,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/plex guide-source list
Cheers.us,,Cheers,,,i.mjh.nz/pluto,i.mjh.nz,PlutoTV/de#611e7f224676bf00076a4d8d,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/pluto guide-source list
Choppertown.us,,Choppertown,,,i.mjh.nz/plex,i.mjh.nz,Plex/au#697140a85d851f5e69414688-5ef11487d33ab9004048a1d3,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/plex guide-source list
Cine666byPlutoTV.de,,Cine 666 by Pluto TV,,,i.mjh.nz/pluto,i.mjh.nz,PlutoTV/fr#6823648580b2665220d9e69a,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/pluto guide-source list
